#{"t_start": 1747577978.1583893, "env_id": "KukaBulletEnv-v0"}
r,l,t,success
-1022.204506,754,2.696783,False
-998.786304,510,3.436547,False
-781.834312,699,4.480964,False
-890.546937,477,6.009608,False
-900.42213,500,6.751795,False
-903.016646,492,7.46455,False
-945.993784,533,8.278216,False
-792.909138,539,9.878726,False
-886.615831,564,10.67697,False
-1029.91035,539,11.547895,False
-768.482534,559,13.179146,False
-868.198528,501,13.88441,False
-1061.161585,542,14.668779,False
-570.233572,545,15.374885,False
-926.431829,503,16.935432,False
-908.8867,531,17.635792,False
-1376.769293,1000,18.372001,False
-828.161845,714,20.124586,False
-1623.503162,900,21.205743,False
-1461.043709,858,22.267246,False
-714.007903,514,23.754548,False
-1564.634565,1000,24.510674,False
-1565.971466,585,26.159727,False
-1009.470522,486,26.851798,False
-1214.686397,485,27.531593,False
-942.960163,597,28.320482,False
-1135.855996,885,30.252442,False
-1353.605545,924,31.350417,False
-1604.700507,1000,32.936189,False
-864.14253,891,33.959048,False
-1057.59086,487,34.599413,False
-1051.676064,1000,36.197517,False
-974.317053,871,37.229704,False
-863.900819,1000,38.904442,False
-673.56696,697,39.921703,False
-1701.574108,1000,41.568431,False
-1966.670529,1000,42.325752,False
-1155.823654,1000,43.935895,False
-781.008861,722,44.870501,False
-1017.368489,1000,45.602952,False
-1243.333783,913,47.503109,False
-1021.465675,685,48.511259,False
-632.516697,561,49.316048,False
-680.005661,679,51.107765,False
-1616.224088,1000,51.832067,False
-1106.443505,785,53.628739,False
-2108.232869,1000,54.33817,False
-2263.163744,1000,55.987515,False
-695.583635,832,57.066694,False
-1978.354759,1000,57.798593,False
-1315.890763,910,59.771316,False
-1117.387706,713,60.689116,False
-922.922916,496,62.183754,False
-1487.807645,931,63.251082,False
-1375.889089,1000,64.01185,False
-1287.768276,880,65.892966,False
-1019.940095,838,67.006719,False
-898.529181,902,68.918802,False
-1314.656529,869,70.057438,False
-1368.036779,801,71.877835,False
-2121.173898,1000,72.604238,False
-1355.651862,1000,74.249194,False
-574.689176,712,75.285211,False
-1323.439075,830,76.392822,False
-1191.888028,1000,78.2207,False
-1350.174262,1000,78.966072,False
-960.815136,996,81.121305,False
-898.023181,903,82.279765,False
-753.788127,916,84.257916,False
-797.734009,954,85.33385,False
-1121.402265,1000,86.952196,False
-1113.796739,798,88.037438,False
-655.222202,765,89.030457,False
-1387.604482,1000,90.674994,False
-1288.678379,1000,91.495098,False
-1399.824384,1000,93.122119,False
-771.516427,792,94.160429,False
-1300.711795,805,96.054187,False
-1350.489142,1000,96.807663,False
-763.60243,821,98.654658,False
-1198.593424,1000,99.364984,False
-1679.799563,1000,100.119125,False
-1455.108457,1000,101.766846,False
-1259.033372,1000,102.49398,False
-1208.403226,1000,104.244581,False
-1120.17125,836,105.495724,False
-654.290576,864,107.791276,False
-802.417134,877,108.890919,False
-572.255264,816,110.956315,False
-1435.627244,871,112.090523,False
-661.076509,851,113.106772,False
-779.645107,838,115.008831,False
-1454.312869,1000,115.757892,False
-1506.163231,1000,117.453142,False
-1056.804727,879,118.611531,False
-853.049786,851,120.652234,False
-1467.643991,878,121.624754,False
-782.743042,933,123.729809,False
-676.726746,848,124.87273,False
-1351.027566,1000,125.609691,False
-697.871615,845,127.698185,False
-1222.722056,832,128.771417,False
-1191.818483,1000,130.669334,False
-935.594579,833,131.845086,False
-673.158255,822,134.181003,False
-682.317748,818,135.271031,False
-1847.023739,845,136.386001,False
-1503.082192,1000,138.329808,False
-649.152601,860,139.448755,False
-678.826242,935,141.604617,False
-1127.591254,893,142.702501,False
-1147.534603,899,144.92294,False
-910.526798,800,146.096396,False
-1515.710296,952,147.444595,False
-1443.334873,987,149.608585,False
-1319.776735,828,150.729931,False
-915.202612,838,152.926602,False
-1016.913568,848,154.175999,False
-834.61398,845,156.693289,False
-716.075165,824,157.98102,False
-895.286338,853,159.244883,False
-1211.868649,815,161.763093,False
-1457.218697,923,162.987343,False
-1608.784764,942,165.309894,False
-1483.29691,944,166.667218,False
-1195.762499,830,169.018442,False
-1230.928215,791,170.128837,False
-1327.117538,841,171.312263,False
-1379.956011,865,173.613133,False
-1331.037016,818,174.791116,False
-1292.431717,827,177.000567,False
-1181.614168,669,177.95057,False
-1300.078309,881,179.171913,False
-1335.863523,858,181.194661,False
-1407.064142,901,182.537153,False
-768.772304,817,184.656951,False
-908.819288,861,185.758006,False
-1417.750343,936,187.715008,False
-1052.832986,819,188.770671,False
-1809.483644,884,189.918314,False
-941.414498,853,192.462821,False
-1258.311756,888,193.625135,False
-1361.679807,895,196.137315,False
-619.722344,841,197.338098,False
-928.758769,856,198.50964,False
-1092.754374,917,200.883835,False
-766.533528,855,202.02578,False
-1428.37878,886,204.055781,False
-1275.844565,879,205.205997,False
-1274.810751,862,207.366885,False
-982.74996,864,208.514718,False
-995.976326,885,209.667794,False
-1664.603241,892,211.822397,False
-1117.452239,935,213.087313,False
-847.280392,958,215.701785,False
-664.741804,873,216.917722,False
-1245.88522,872,218.948921,False
-1105.77722,904,220.094171,False
-900.505886,902,222.329176,False
-1308.51157,956,223.612913,False
-1466.287437,907,224.77768,False
-1234.513821,901,227.213537,False
-1322.474162,896,228.553655,False
-1267.595985,898,231.242979,False
-971.416591,834,232.588465,False
-1464.545669,873,235.174308,False
-1280.080541,1000,236.032518,False
-700.410075,815,237.231051,False
-1355.795378,865,239.527649,False
-731.528446,886,240.675592,False
-813.784252,898,242.959112,False
